"domain","supervisor_status","section","question_id","topic","imp_recat","skill_recat","skill_n","imp_n","imp_prop","skill_prop","priority_score","domain_cat","skill_cat","question_text"
"budget","Non-supervisor","SecD","SecD4","desc_how_money_supports","Moderately/Very Important","Unable to Perform/Beginner",102,190,58.1039755351682,53.6842105263158,31.1926605504587,"budget, change, policy, systems","Budget & Financial Management","Describe how public health funding mechanisms support agency programs and services (e.g., categorical grants, state general funds, fees, third-party reimbursement, tobacco taxes)"
"budget","Non-supervisor","SecD","SecD1","desc_methods","Moderately/Very Important","Unable to Perform/Beginner",97,167,51.0703363914373,58.0838323353293,29.6636085626911,"budget, change, policy, systems","Budget & Financial Management","Describe financial analysis methods applicable to program and service delivery"
"budget","Non-supervisor","SecD","SecD7","desc_val_bus_plan","Moderately/Very Important","Unable to Perform/Beginner",96,180,55.045871559633,53.3333333333333,29.3577981651376,"budget, change, policy, systems","Budget & Financial Management","Describe the value of an agency business plan (e.g., tool for analyzing and planning for a product or service that will meet a community need, will generate revenue, and be sustainable)"
"systems","Non-supervisor","SecF","SecF12","understand_role_FPHS","Moderately/Very Important","Unable to Perform/Beginner",94,223,68.1957186544342,42.152466367713,28.7461773700306,"budget, change, policy, systems","Systems & Strategic Thinking","Understands the Foundational Public Health Services (FPHS) and how their role contributes to and supports the broader public health system."
"change","Non-supervisor","SecE","SecE1","desc_impact_change","Moderately/Very Important","Unable to Perform/Beginner",93,229,70.0305810397553,40.6113537117904,28.4403669724771,"budget, change, policy, systems","Change Management","Describe the influence of internal changes (e.g., personnel changes, funding cuts, internal policies, etc.) on organizational practices"
"policy","Non-supervisor","SecI","SecI4","collect_inform","Moderately/Very Important","Unable to Perform/Beginner",92,203,62.0795107033639,45.320197044335,28.1345565749236,"budget, change, policy, systems","Policy Engagement","Collect and summarize information to inform the development of policies external to the organization that affect the health of the community (e.g., transportation routes, earned sick leave, tobacco 21, affordable housing/inclusionary zoning, complete streets, healthy food procurement)"
"change","Non-supervisor","SecE","SecE4","assess_ex_drivers","Moderately/Very Important","Unable to Perform/Beginner",90,231,70.6422018348624,38.961038961039,27.5229357798165,"budget, change, policy, systems","Change Management","Assess the external drivers in your environment (e.g., physical, political, social, fiscal, etc.) that may influence your work"
"policy","Non-supervisor","SecI","SecI1","desc_relation","Moderately/Very Important","Unable to Perform/Beginner",88,216,66.0550458715596,40.7407407407407,26.9113149847095,"budget, change, policy, systems","Policy Engagement","Describe the relationship between a policy and many types of public health problems."
"systems","Non-supervisor","SecF","SecF6","participate_QI","Moderately/Very Important","Unable to Perform/Beginner",81,209,63.914373088685,38.755980861244,24.7706422018349,"budget, change, policy, systems","Systems & Strategic Thinking","Participate in quality improvement processes (e.g., Plan-Do-Check-Act, SWOT analysis, fishbone, lean, kaizen, etc.) for agency programs and services"
"engage","Non-supervisor","SecG","SecG4","desc_engage_program","Moderately/Very Important","Unable to Perform/Beginner",71,245,74.9235474006116,28.9795918367347,21.7125382262997,"partners, engage","Community Engagement","Describe the importance of engaging community members in the design and implementation of programs to improve health in a community"
